IATA;ICAO;Merk;Type;Wake;;Capaciteit;Vracht
A4F;A124;Antonov;Antonov AN-124 Ruslan;H;;;
A40;A140;Antonov;Antonov AN-140;M;;;
AB6;A306;Airbus;Airbus Industrie A300-600 pax;H;;275;5
ABY;A306;Airbus;Airbus Industrie A600-600 Freighter;H;;0;38
AB3;A30B;Airbus;Airbus Industrie A300 pax;H;;275;5
AB4;A30B;Airbus;Airbus Industrie A300B2/B4/C4 pax;H;;275;5
ABF;A30B;Airbus;Airbus Industrie A300 Freighter;H;;0;40
ABX;A30B;Airbus;Airbus Industrie A300C4/F4 Freighter;H;;0;40
310;A310;Airbus;Airbus A310 all pax models;H;;250;5
312;A310;Airbus;Airbus A310-200 pax;H;;250;5
313;A310;Airbus;Airbus A310-300 pax;H;;250;5
31F;A31F;Airbus;Airbus A310 Freighter;M;Freighter;0;35
31X;A31F;Airbus;Airbus A310-200 Freighter;M;Freighter;0;35
31Y;A31F;Airbus;Airbus A310-300 Freighter;M;Freighter;0;35
318;A318;Airbus;Airbus A318;M;;105;8
319;A319;Airbus;Airbus A319;M;;125;8
320;A320;Airbus;Airbus A320-100/200;M;;150;8
321;A321;Airbus;Airbus A321-100/200;M;;185;8
330;A330;Airbus;Airbus A330 all models;H;;250;8
33F;A33F;Airbus;Airbus A330-200 Freighter;H;Freighter;0;70
332;A332;Airbus;Airbus A330-200;H;;246;8
333;A333;Airbus;Airbus A330-300;H;;300;8
340;A340;Airbus;Airbus A340 all models;H;;310;8
342;A342;Airbus;Airbus A340-200;H;;310;8
343;A343;Airbus;Airbus A340-300;H;;340;8
345;A345;Airbus;Airbus A340-500;H;;340;8
346;A346;Airbus;Airbus A340-600;H;;340;8
351;A351;Airbus;Airbus A350-1000;H;;366;8
359;A359;Airbus;Airbus A350-900;H;;325;8
380;A388;Airbus;Airbus A380 pax;H;;880;15
ABB;A3ST;Airbus;Airbus Industrie A300-600ST Beluga Freighter;H;;;
HS7;A748;Hawker;Hawker Siddeley HS.748;M;;;
ACP;AC68;Gulfstream;Gulfstream/Rockwell (Aero) Commander;L;;;
ACT;AC90;Gulfstream;Gulfstream/Rockwell (Aero) Turbo Commander;L;;;
ANF;AN12;Antonov;Antonov AN-12;M;;;
AN4;AN24;Antonov;Antonov AN-24;M;;;
YN7;AN24;Xi'an;Xian Yunshuji Y7;M;;;
A26;AN26;Antonov;Antonov AN-26;L;;;
A28;AN28;Antonov;Antonov AN-28 / PZL Miele M-28 Skytruck;L;;;
A30;AN30;Antonov;Antonov AN-30;L;;;
A32;AN32;Antonov;Antonov AN-32;L;;;
AN7;AN72;Antonov;Antonov AN-72 / AN-74;M;;;
AT4;AT43;Aerospatiale;Aerospatiale/Alenia ATR 42-300 / 320;M;;;
AT5;AT45;Aerospatiale;Aerospatiale/Alenia ATR 42-500;M;;;
AT7;AT72;Aerospatiale;Aerospatiale/Alenia ATR 72;M;;72;5
ATP;ATP;British Aerospace;British Aerospace ATP;M;;;
MBH;B105;Eurocopter;Eurocopter (MBB) Bo.105;n/a;;;
BE1;B190;Beechcraft ;Beechcraft 1900/1900C/1900D;M;;;
BEH;B190;Beechcraft ;Beechcraft 1900D;M;;;
BES;B190;Beechcraft ;Beechcfrat 1900/1900C;M;;;
141;B461;British Aerospace;BAe 146-100 Pax;M;;105;5
14X;B461;British Aerospace;BAe 146 Freighter (-100QT & QC);M;;;
142;B462;British Aerospace;BAe 146-200 Pax;M;;115;5
14Y;B462;British Aerospace;BAe 146 Freighter (-200QT & QC);M;;;
143;B463;British Aerospace;BAe 146-300 Pax;M;;130;5
14Z;B463;British Aerospace;BAe 146 Freighter (-200QT & QC);M;;;
703;B703;Boeing;Boeing 707-300 pax;H;;;
70F;B703;Boeing;Boeing 707 Freighter;H;;;
70M;B703;Boeing;Boeing 707 Combi;H;;;
717;B712;Boeing;Boeing 717;M;;135;5
B72;B720;Boeing;Boeing 720B pax;M;;;
721;B721;Boeing;Boeing 727-100 pax;M;;;
72B;B721;Boeing;Boeing 727-100 Mixed Configuration;M;;;
72X;B721;Boeing;Boeing 727-100 Freighter;M;;;
722;B722;Boeing;Boeing 727-200 pax;M;;;
72C;B722;Boeing;Boeing 727-200 Mixed Configuration;M;;;
72S;B722;Boeing;Boeing 727-200 Advanced pax;M;;;
72Y;B722;Boeing;Boeing 727-200 Freighter;M;;;
731;B731;Boeing;Boeing 737-100 pax;M;;;
732;B732;Boeing;Boeing 737-200 pax;M;;;
73M;B732;Boeing;Boeing 737-200 Combi;M;;;
73X;B732;Boeing;Boeing 737-200 Freighter;M;;;
733;B733;Boeing;Boeing 737-300 pax;M;;150;8
73Y;B733;Boeing;Boeing 737-300 Freighter;M;;;
734;B734;Boeing;Boeing 737-400 pax;M;;175;8
735;B735;Boeing;Boeing 737-500 pax;M;;110;8
736;B736;Boeing;Boeing 737-600 pax;M;;110;8
73G;B737;Boeing;Boeing 737-700 pax;M;;150;8
73W;B737;Boeing;Boeing 737-700 (winglets) pax;M;;;
738;B738;Boeing;Boeing 737-800 pax;M;;180;8
73H;B738;Boeing;Boeing 737-800 (winglets) pax;M;;180;5
739;B739;Boeing;Boeing 737-900 pax;M;;240;5
741;B741;Boeing;Boeing 747-100 pax;H;;;
74T;B741;Boeing;Boeing 747-100 Freighter;H;;;
742;B742;Boeing;Boeing 747-200 pax;H;;;
74C;B742;Boeing;Boeing 747-200 Combi;H;;;
74X;B742;Boeing;Boeing 747-200 Freighter;H;;0;36
743;B743;Boeing;Boeing 747-300 pax;H;;;
74D;B743;Boeing;Boeing 747-300 Combi;H;;;
74U;B743;Boeing;Boeing 747-300 / 747-200 SUD Freighter;H;;;
744;B744;Boeing;Boeing 747-400 pax;H;;416;5
74E;B744;Boeing;Boeing 747-400 Combi;H;;225;14
74J;B744;Boeing;Boeing 747-400 (Domestic) pax;H;;;
74Y;B744;Boeing;Boeing 747-400 Freighter;H;;;
74R;B74R;Boeing;Boeing 747SR pax;H;;;
74V;B74R;Boeing;Boeing 747SR Freighter;H;;;
752;B752;Boeing;Boeing 757-200 pax;H;;200;
75F;B752;Boeing;Boeing 757 Freighter;H;;0;45
75M;B752;Boeing;Boeing 757 Mixed Configuration;H;;;
753;B753;Boeing;Boeing 757-300 pax;H;;220;5
762;B762;Boeing;Boeing 767-200 pax;H;;200;8
76X;B762;Boeing;Boeing 767-200 Freighter;H;;;
763;B763;Boeing;Boeing 767-300 pax;H;;250;8
76Y;B763;Boeing;Boeing 767-300 Freighter;H;;;
764;B764;Boeing;Boeing 767-400 pax;H;;275;8
772;B772;Boeing;Boeing 777-200 pax;H;;320;8
773;B773;Boeing;Boeing 777-300 pax;H;;350;8
B11;BA11;British Aerospace;British Aerospace (BAC) One Eleven / RomBAC One Eleven;M;;;
B12;BA11;British Aerospace;British Aerospace (BAC) One Eleven 200;M;;;
B13;BA11;British Aerospace;British Aerospace (BAC) One Eleven 300;M;;;
B14;BA11;British Aerospace;British Aerospace (BAC) One Eleven 400/475;M;;;
B15;BA11;British Aerospace;British Aerospace (BAC) One Eleven 500 / RomBAC One Eleven;M;;;
SHB;BELF;Shorts;Shorts SC-5 Belfast;M;;;
BNI;BN2P;Pilatus;Pilatus Britten-Norman BN-2A/B Islander;L;;;
LOH;C130;Lockheed;Lockheed L-182 / 282 / 382 (L-100) Hercules;M;;;
CS2;C212;CASA;CASA / IPTN 212 Aviocar;M;;;
CWC;C46;Curtiss;Curtiss C-46 Commando;M;;;
CL4;CL44;Bombardier;Canadair CL-44;M;;;
CCJ;CL60;Bombardier;Canadair Challenger;M;;;
CS5;CN35;CASA;CASA / IPTN CN-235;M;;;
SSC;CONC;British Aerospace;Aerospatiale/BAC Concorde;H;;;
L49;CONI;Lockheed;Lockheed L-1049 Super Constellation;M;;;
HEC;COUC;Helio;Helio H-250 Courier / H-295 / 385 Super Courier;L;;;
CR1;CRJ1;Bombardier;Canadair Regional Jet 100;M;;50;3
CR2;CRJ2;Bombardier;Canadair Regional Jet 200;M;;;
CR7;CRJ7;Bombardier;Canadair Regional Jet 700;M;;86;5
CR9;CRJ9;Bombardier;Canadair Regional Jet 900;M;;50;2
CV4;CVLP;Convair;Convair CV-440 Metropolitan pax;M;;;
CVV;CVLP;Convair;Convair CV-240 Freighter;M;;;
CVX;CVLP;Convair;Convair CV-440 Freighter;M;;;
CV5;CVLT;Convair;Convair CV-580 pax;M;;;
CVY;CVLT;Convair;Convair CV-580 / 600 / 640 Freighter;M;;;
D28;D228;Fairchild;Fairchild Dornier Do.228;L;;30;8
D38;D328;Fairchild;Fairchild Dornier Do.328;M;;;
D10;DC10;Douglas;Douglas DC-10 pax;H;;;
D11;DC10;Douglas;Douglas DC-10-10/15 pax;H;;280;8
D1C;DC10;Douglas;Douglas DC-10-30/40 pax;H;;300;8
D1F;DC10;Douglas;Douglas DC-10 all Freighters;H;;0;30
D1M;DC10;Douglas;Douglas DC-10 all Combi models;H;;100;13
D1X;DC10;Douglas;Douglas DC-10-10 Freighter;H;;;
D1Y;DC10;Douglas;Douglas DC-10-30 / 40 Freighters;H;;;
D3F;DC3;Douglas;Douglas DC-3 Freighter;M;;;
DC3;DC3;Douglas;Douglas DC-3 pax;M;;;
D6F;DC6;Douglas;Douglas DC-6A/B/C Freighter;M;;;
DC6;DC6;Douglas;Douglas DC6A/B pax;M;;;
D8T;DC85;Douglas;Douglas DC-8-50 Freighter;H;;;
D8L;DC86;Douglas;Douglas DC-8-62 pax;H;;;
D8Q;DC87;Douglas;Douglas DC-8-72 pax;H;;;
D8Y;DC87;Douglas;Douglas DC-8-71 / 72 / 73 Freighters;H;;;
DC9;DC9;Douglas;Douglas DC-9 all pax models;M;;;
D91;DC91;Douglas;Douglas DC-9-10 pax;M;;;
D9X;DC91;Douglas;Douglas DC-9-10 Freighter;M;;;
D92;DC92;Douglas;Douglas DC-9-20 pax;M;;;
D93;DC93;Douglas;Douglas DC-9-30 pax;M;;;
D9C;DC93;Douglas;Douglas DC-9-30 Freighter;M;;;
D94;DC94;Douglas;Douglas DC-9-40 pax;M;;;
D9F;DC94;Douglas;Douglas DC-9-40 Freighter;M;;;
D95;DC95;Douglas;Douglas DC-9-50 pax;M;;;
DHR;DH2T;De Haviland Canada;De Havilland Canada DHC-2 Turbo-Beaver;L;;;
DH1;DH8A;De Haviland Canada;De Havilland Canada DHC-8-100 Dash 8 / 8Q;M;;40;1
DH2;DH8B;De Haviland Canada;De Havilland Canada DHC-8-200 Dash 8 / 8Q;M;;;
DH3;DH8C;De Haviland Canada;De Havilland Canada DHC-8-300 Dash 8 / 8Q;M;;50;1
DH4;DH8D;De Haviland Canada;De Havilland Canada DHC-8-400 Dash 8Q;M;;70;1
DHP;DHC2;De Haviland Canada;De Havilland Canada DHC-2 Beaver;L;;;
DHL;DHC3;De Haviland Canada;De Havilland Canada DHC-3 Turbo Otter;L;;;
DHO;DHC3;De Haviland Canada;De Havilland Canada DHC-3 Otter / Turbo Otter;L;;;
DHS;DHC3;De Haviland Canada;De Havilland Canada DHC-3 Otter;L;;;
DHC;DHC4;De Haviland Canada;De Havilland Canada DHC-4 Caribou;M;;;
DHT;DHC6;De Haviland Canada;De Havilland Canada DHC-6 Twin Otter;L;;;
DH7;DHC7;De Haviland Canada;De Havilland Canada DHC-7 Dash 7;M;;45;1
DHD;DOVE;De Haviland Canada;De Havilland DH.104 Dove;L;;;
EMB;E110;Embraer;Embraer EMB.110 Bandeirnate;M;;25;6
EM2;E120;Embraer;Embraer EMB.120 Brasilia;L;;33;6
ER3;E135;Embraer;Embraer RJ135;M;;40;4
ER4;E145;Embraer;Embraer RJ145 Amazon;M;;50;5
E70;E170;Embraer;Embraer 170;M;;70;6
E90;E190;Embraer;Embraer 190;M;;94;6
MD9;EXPL;MD;MD Helicopters MD900 Explorer;n/a;;;
100;F100;Fokker;Fokker 100;M;;100;2
F27;F27;Fokker;Fokker F.27 Friendship / Fairchild F.27;M;;;
FK7;F27;Fairchild;Fairchild FH.227;M;;;
F21;F28;Fokker;Fokker F.28 Fellowship 1000;M;;;
F22;F28;Fokker;Fokker F.28 Fellowship 2000;M;;;
F23;F28;Fokker;Fokker F.28 Fellowship 3000;M;;;
F24;F28;Fokker;Fokker F.28 Fellowship 4000;M;;;
F28;F28;Fokker;Fokker F.28 Fellowship;M;;;
F50;F50;Fokker;Fokker 50;M;;50;2
F70;F70;Fokker;Fokker 70;M;;70;2
GRS;G159;Gulfstream;Gulfstream Aerospace G-159 Gulfstream I;M;;;
GRG;G21;Grumman;Grumman G.21 Goose;L;;;
GRM;G73T;Grumman;Grumman G.73 Turbo Mallard;L;;;
CCX;GLEX;Bombardier;Canadair Global Express;M;;;
DHH;HERN;De Haviland Canada;De Havilland DH.114 Heron;L;;;
I14;I114;Ilyushin;Ilyushin IL114;M;;;
IL8;IL18;Ilyushin;Ilyushin IL18;M;;250;5
IL6;IL62;Ilyushin;Ilyushin IL62;H;;180;3
IL7;IL76;Ilyushin;Ilyushin IL76;H;;0;34
ILW;IL86;Ilyushin;Ilyushin IL86;H;;;
I93;IL96;Ilyushin;Ilyushin IL96-300 pax;H;;;
I9F;IL96;Ilyushin;Ilyushin IL96 Freighters;H;;;
I9M;IL96;Ilyushin;Ilyushin IL96M pax;H;;275;5
I9X;IL96;Ilyushin;Ilyushin IL96-300 Freighter;H;;;
I9Y;IL96;Ilyushin;Ilyushin IL96T Freighter;H;;;
IL9;IL96;Ilyushin;Ilyushin IL96 pax;H;;;
FRJ;J328;Fairchild;Fairchild Dornier 328JET;M;;;
J31;JS31;British Aerospace;British Aerospace Jetstream 31;L;;;
J32;JS32;British Aerospace;British Aerospace Jetstream 32;L;;;
J41;JS41;British Aerospace;British Aerospace Jetstream 41;M;;;
JU5;JU52;Junkers;Junkers Ju52/3M;M;;;
L10;L101;Lockheed;Lockheed L-1011 Tristar pax;H;;;
L11;L101;Lockheed;Lockheed L-1011 1 / 50 / 100 / 150 / 200 / 250 Tristar pax;H;;;
L15;L101;Lockheed;Lockheed L-1011 500 Tristar pax;H;;;
L1F;L101;Lockheed;Lockheed L-1011 Tristar Freighter;H;;;
LOE;L188;Lockheed;Lockheed L-188 Electra pax;M;;;
LOF;L188;Lockheed;Lockheed L-188 Electra Freighter;M;;;
LOM;L188;Lockheed;Lockheed L-188 Electra Mixed Configuration;M;;;
L4T;L410;LET;LET 410;L;;;
ALM;LOAD;Ayres;Ayres LM-200 Loadmaster;M;;;
M11;MD11;McDonnell Douglas;McDonnell Douglas MD11 pax;H;;325;8
M1F;MD11;McDonnell Douglas;McDonnell Douglas MD11 Freighter;H;;;
M1M;MD11;McDonnell Douglas;McDonnell Douglas MD11 Mixed Configuration;H;;150;13
M80;MD80;McDonnell Douglas;McDonnell Douglas MD80;M;;;
M81;MD81;McDonnell Douglas;McDonnell Douglas MD81;M;;140;8
M82;MD82;McDonnell Douglas;McDonnell Douglas MD82;M;;150;8
M83;MD83;McDonnell Douglas;McDonnell Douglas MD83;M;;150;8
M87;MD87;McDonnell Douglas;McDonnell Douglas MD87;M;;125;8
M88;MD88;McDonnell Douglas;McDonnell Douglas MD88;M;;150;8
M90;MD90;McDonnell Douglas;McDonnell Douglas MD90;M;;;
MIH;MI8;MIL;MIL Mi-8 / Mi-17 / Mi-171 / Mil-172;n/a;;;
MU2;MU2;Mitsubishi;Mitsubishi Mu-2;L;;;
32S;n/a;Airbus;Airbus A318/319/320/321;M;;180;8
707;n/a;Boeing;Boeing 707/720 all pax models;H;;;
727;n/a;Boeing;Boeing 727 all pax models;M;;;
72F;n/a;Boeing;Boeing 727 Freighter (-100/200);M;;;
72M;n/a;Boeing;Boeing 727 Combi;M;;;
737;n/a;Boeing;Boeing 737 all pax models;M;;;
73F;n/a;Boeing;Boeing 737 all Freighter models;M;;;
747;n/a;Boeing;Boeing 747 all pax models;H;;;
74F;n/a;Boeing;Boeing 747 all Freighter models;H;;;
74M;n/a;Boeing;Boeing 747 all Combi models;H;;;
757;n/a;Boeing;Boeing 757 all pax models;H;;;
767;n/a;Boeing;Boeing 767 all pax models;H;;;
76F;n/a;Boeing;Boeing 767 all Freighter models;H;;0;38
777;n/a;Boeing;Boeing 777 all pax models;H;;;
ACD;n/a;Gulfstream;Gulfstream/Rockwell (Aero) Commander/Turbo Commander;L;;;
AN6;n/a;Antonov;Antonov AN-26 / AN-30 /AN-32;M;;;
APH;n/a;Aerospatiale;Eurocopter (Aerospatiale) SA330 Puma / AS332 Super Puma;n/a;;;
ARJ;n/a;Avro;Avro RJ70 / RJ85 / RJ100 Avroliner;M;;;
ARX;n/a;Avro;Avro RJX85 / RJX100;M;;;
ATR;n/a;Aerospatiale;Aerospatiale/Alenia ATR 42/ ATR 72;M;;42;5
BE2;n/a;Beechcraft ;Beechcraft twin piston engines;L;;;
BEC;n/a;Beechcraft ;Beechcraft light aircraft;L;;;
BEP;n/a;Beechcraft ;Beechcraft light aircraft - single engine;L;;;
BET;n/a;Beechcraft ;Beechcraft light aircraft - twin turboprop engine;L;;;
BH2;n/a;Bell;Bell Helicopters;n/a;;;
BUS;n/a;;Bus;n/a;;;
CN1;n/a;Cessna;Cessna light aircraft - single piston engine;L;;;
CN2;n/a;Cessna;Cessna light aircraft - twin piston engines;L;;;
CNA;n/a;Cessna;Cessna light aircraft;L;;;
CNC;n/a;Cessna;Cessna light aircraft - single turboprop engine;L;;;
CNJ;n/a;Cessna;Cessna Citation;L;;;
CNT;n/a;Cessna;Cessna light aircraft - twin turboprop engines;L;;;
CRJ;n/a;Bombardier;Canadair Regional Jet;M;;50;7
CVF;n/a;Convair;Convair CV-240 / 440 / 580 / 600 / 640 Freighter;M;;;
CVR;n/a;Convair;Convair CV-240 / 440 / 580 / 600 / 640 pax;M;;;
D8F;n/a;Douglas;Douglas DC-8 all Freighters;H;;;
D8M;n/a;Douglas;Douglas DC-8 all Combi models;H;;;
D8X;n/a;Douglas;Douglas DC-8-61 / 62 / 63 Freighters;H;;;
D9F;n/a;Douglas;Douglas DC-9 all Freighters;M;;;
DC8;n/a;Douglas;Douglas DC-8 all pax models;H;;;
DF2;n/a;Dassault;Dassault (Breguet Mystere) Falcon 10 / 100 / 20 / 200 / 2000;M;;;
DF3;n/a;Dassault;Dassault (Breguet Mystere) Falcon 50 / 900;M;;;
DFL;n/a;Dassault;Dassault (Breguet Mystere) Falcon;M;;;
DH8;n/a;De Haviland Canada;De Havilland Canada DHC-8 Dash 8 all models;M;;;
DHB;n/a;De Haviland Canada;De Havilland Canada DHC-2 Beaver / Turbo Beaver;L;;;
ERJ;n/a;Embraer;Embraer RJ135 / RJ140 / RJ145;M;;;
FA7;n/a;Fairchild;Fairchild Dornier 728JET;M;;;
GRJ;n/a;Gulfstream;Gulfstream Aerospace G-1159 Gulfstream II / III / IV / V;M;;;
H25;n/a;British Aerospace;British Aerospace (Hawker Siddeley) HS.125;M;;;
HOV;n/a;;Hovercraft;n/a;;;
JST;n/a;British Aerospace;British Aerospace Jetstream 31 / 32 / 41;L/M;;;
LCH;n/a;;Launch - Boat;n/a;;;
LMO;n/a;;Limousine;n/a;;;
LRJ;n/a;Gates;Gates Learjet;M;;;
NDE;n/a;Aerospatiale;Eurocopter (Aerospatiale) AS350 Ecureuil / AS355 Ecureuil 2;n/a;;;
PA1;n/a;;Piper light aircraft - single piston engine;L;;;
PA2;n/a;;Piper light aircraft - twin piston engines;L;;;
PAG;n/a;;Piper light aircraft;L;;;
PAT;n/a;;Piper light aircraft - twin turboprop engines;L;;;
TRN;n/a;Train;Train;;;;
ND2;N262;Aerospatiale;Aerospatiale (Nord) 262;M;;;
74L;N74S;Boeing;Boeing 747SP;H;;300;
CD2;NOMA;Bombardier;Government Aircraft Factories N22B / N24A Nomad;L;;;
PN6;P68;Partenavia;Partenavia P.68;L;;;
PL2;PC12;Pilatus;Pilatus PC-12;L;;;
PL6;PC6T;Pilatus;Pilatus PC-6 Turbo Porter;L;;;
AR1;RJ1H;Avro;Avro RJ100 Avroliner;M;;;
AR7;RJ70;Avro;Avro RJ70 Avroliner;M;;;
AR8;RJ85;Avro;Avro RJ85 Avroliner;M;;;
AX1;RX1H;Avro;Avro RJX100;M;;;
AX8;RX85;Avro;Avro RJX85;M;;;
CRV;S210;Aerospatiale;Aerospatiale (Sud Aviation) Se.210 Caravelle;M;;;
S58;S58T;Sikorsky;Sikorsky S-58T;n/a;;;
NDC;S601;Aerospatiale;Aerospatiale SN.601 Corvette;L;;;
S61;S61;Sikorsky;Sikorsky S-61;n/a;;;
NDH;S65C;Aerospatiale;Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2;n/a;;;
S76;S76;Sikorsky;Sikorsky S-76;n/a;;;
S20;SB20;Saab;Saab 2000;M;;50;2
SHS;SC7;Shorts;Shorts SC-7 Skyvan;L;;;
SF3;SF34;Saab;Saab SF340A/B;M;;34;5
SH3;SH33;Shorts;Shorts SD.330;M;;;
SH6;SH36;Shorts;Shorts SD.360;M;;;
TU3;T134;Tupolev;Tupolev Tu134;M;;100;9
TU5;T154;Tupolev;Tupolev Tu154;M;;180;8
T20;T204;Tupolev;Tupolev Tu-204 / Tu-214;M;;;
BNT;TRIS;Pilatus;Pilatus Britten-Norman BN-2A Mk III Trislander;L;;;
VCV;VISC;Vickers;Vickers Viscount;M;;;
WWP;WW24;Israel Aircraft Industries;Israel Aircraft Industries 1124 Westwind;M;;;
YN2;Y12;Harbin;Harbin Yunshuji Y12;M;;;
YK4;YK40;Yakovlev;Yakovlev Yak 40;M;;80;2
YK2;YK42;Yakovlev;Yakovlev Yak 42;M;;100;2
YS1;YS11;Nihon Aircraft;NAMC YS-11;M;;;
146;;British Aerospace;BAe 146 all pax models;M;;;
14F;;British Aerospace;BAe 146 Freighter (-100/200/300QT & QC);M;;;
38F;;Airbus;Airbus A380 Freighter;H;;;
EMJ;;Embraer;Embraer 170/190;M;;;
ERD;;Embraer;Embraer RJ140;M;;;
